	  Vārds	  Uzvārds	  Nosaukums
1.	Skaidrīte	Ābrama	Frakcija PROGRESĪVIE
2.	Česlavs	Batņa	Frakcija “APVIENOTAIS SARAKSTS”
3.	Raimonds	Bergmanis	Frakcija “APVIENOTAIS SARAKSTS”
4.	Andris	Bērziņš	Zaļo un Zemnieku savienības frakcija
5.	Anita	Brakovska	Zaļo un Zemnieku savienības frakcija
6.	Augusts	Brigmanis	Zaļo un Zemnieku savienības frakcija
7.	Oļegs	Burovs	Pie frakcijām nepiederošie deputāti
8.	Artūrs	Butāns	Frakcija “Nacionālā apvienība”
9.	Andrejs	Ceļapīters	Pie frakcijām nepiederošie deputāti
10.	Edmunds	Cepurītis	Frakcija PROGRESĪVIE
11.	Ingrīda	Circene	Frakcija JAUNĀ VIENOTĪBA
12.	Raimonds	Čudars	Frakcija JAUNĀ VIENOTĪBA
13.	Svetlana	Čulkova	Frakcija “Stabilitātei!”
14.	Mārtiņš	Daģis	Frakcija JAUNĀ VIENOTĪBA
15.	Gundars	Daudze	Zaļo un Zemnieku savienības frakcija
16.	Dāvis Mārtiņš	Daugavietis	Frakcija JAUNĀ VIENOTĪBA
17.	Jānis	Dombrava	Frakcija “Nacionālā apvienība”
18.	Jekaterina	Drelinga	Frakcija “Stabilitātei!”
19.	Raivis	Dzintars	Frakcija “Nacionālā apvienība”
20.	Mārtiņš	Felss	Frakcija JAUNĀ VIENOTĪBA
21.	Alīna	Gendele	Frakcija JAUNĀ VIENOTĪBA
22.	Ligita	Gintere	Zaļo un Zemnieku savienības frakcija
23.	Jānis	Grasbergs	Frakcija “Nacionālā apvienība”
24.	Ilze	Indriksone	Frakcija “Nacionālā apvienība”
25.	Iļja	Ivanovs	Frakcija “Stabilitātei!”
26.	Juris	Jakovins	Zaļo un Zemnieku savienības frakcija
27.	Mārcis	Jencītis	Frakcija LATVIJA PIRMAJĀ VIETĀ
28.	Andrejs	Judins	Frakcija JAUNĀ VIENOTĪBA
29.	Igors	Judins	Frakcija “Stabilitātei!”
30.	Edmunds	Jurēvics	Frakcija JAUNĀ VIENOTĪBA
31.	Zanda	Kalniņa-Lukaševica	Frakcija JAUNĀ VIENOTĪBA
32.	Inese	Kalniņa	Frakcija JAUNĀ VIENOTĪBA
33.	Irma	Kalniņa	Frakcija JAUNĀ VIENOTĪBA
34.	Aleksandrs	Kiršteins	Pie frakcijām nepiederošie deputāti
35.	Jefimijs	Klementjevs	Frakcija “Stabilitātei!”
36.	Jurģis	Klotiņš	Frakcija “Nacionālā apvienība”
37.	Līga	Kļaviņa	Zaļo un Zemnieku savienības frakcija
38.	Dmitrijs	Kovaļenko	Frakcija “Stabilitātei!”
39.	Līga	Kozlovska	Zaļo un Zemnieku savienības frakcija
40.	Agnese	Krasta	Frakcija JAUNĀ VIENOTĪBA
41.	Ģirts Valdis	Kristovskis	Frakcija JAUNĀ VIENOTĪBA
42.	Kristaps	Krištopans	Frakcija LATVIJA PIRMAJĀ VIETĀ
43.	Māris	Kučinskis	Frakcija “APVIENOTAIS SARAKSTS”
44.	Andris	Kulbergs	Frakcija “APVIENOTAIS SARAKSTS”
45.	Gunārs	Kūtris	Zaļo un Zemnieku savienības frakcija
46.	Ervins	Labanovskis	Frakcija PROGRESĪVIE
47.	Atis	Labucis	Frakcija JAUNĀ VIENOTĪBA
48.	Ainars	Latkovskis	Frakcija JAUNĀ VIENOTĪBA
49.	Ingmārs	Līdaka	Frakcija “APVIENOTAIS SARAKSTS”
50.	Linda	Liepiņa	Frakcija LATVIJA PIRMAJĀ VIETĀ
51.	Gatis	Liepiņš	Frakcija JAUNĀ VIENOTĪBA
52.	Lauris	Lizbovskis	Frakcija “APVIENOTAIS SARAKSTS”
53.	Mairita	Lūse	Frakcija PROGRESĪVIE
54.	Nataļja	Marčenko-Jodko	Frakcija “Stabilitātei!”
55.	Valdis	Maslovskis	Zaļo un Zemnieku savienības frakcija
56.	Linda	Matisone	Frakcija “APVIENOTAIS SARAKSTS”
57.	Daiga	Mieriņa	Zaļo un Zemnieku savienības frakcija
58.	Uģis	Mitrevics	Frakcija “Nacionālā apvienība”
59.	Ināra	Mūrniece	Frakcija “Nacionālā apvienība”
60.	Antoņina	Ņenaševa	Frakcija PROGRESĪVIE
61.	Jānis	Patmalnieks	Frakcija JAUNĀ VIENOTĪBA
62.	Ramona	Petraviča	Frakcija LATVIJA PIRMAJĀ VIETĀ
